latitude,longitude,year,detection_date
48.980994,-122.688503,2019,2019-12-08
48.971949,-122.700941,2019,2019-10-30
49.149394,-123.943134,2019,2019-09-19
48.955587,-122.661037,2020,2020-05-27
49.025831,-122.810653,2019,2019-11-13
49.060215,-122.641648,2020,2020-05-15
48.777534,-122.418612,2020,2020-06-07
48.993892,-122.702242,2019,2019-09-30
48.927519,-122.745016,2020,2020-08-17
48.984269,-122.574809,2020,2020-09-21
48.979497,-122.581335,2020,2020-09-30
48.983375,-122.582465,2020,2020-10-01
48.984172,-122.57472,2020,2020-09-29
48.98422,-122.574726,2020,2020-09-28
